newsId,url,title,head_img,category,tag,description
11,https://new.qq.com/omn/20180920/20180920A0CILY00.html,绘画-英国水彩画家，带着一丝忧伤！,https://inews.gtimg.com/newsapp_ls/0/13586795787_640330/0,文化,绘画;水彩;英国,绘画- 英国水彩画家 Naomi Tydeman，带着一丝忧伤！
12,https://new.qq.com/omn/20180922/20180922A0Y6NE00.html,怀孕后，孕妈需要做好5件事，关乎胎儿健康，别忽视,https://inews.gtimg.com/newsapp_ls/0/13531786399_640330/0,育儿,怀孕;孕妈;胎儿;孕期,对于宝妈们来说，新生命的来到是一件很值得高兴的事情，于是，不少孕妈妈为了肚子里的胎宝宝也是特别的小心，除了吃叶酸还有什么事情，别说，还真有。— 1 —提前做好检查在得知怀孕之后，我们就要去医院做一个……
13,https://new.qq.com/omn/20190411/20190411A0HFVC00.html,自暴自弃庸庸碌碌，或许也能活得下来，但这绝不是生活,https://inews.gtimg.com/newsapp_ls/0/13373881203_640330/0,情感,石头;佛像;石匠,做人，无需去羡慕别人，也无需去花时间去羡慕别人是如何成功的，想的只要是自己如何能战胜自己，如何变得比昨天的自己强大就行。自己的磨练和坚持，加上自己的智慧和勤劳，会成功的。终将变成石佛那样受到大家的尊……
14,https://new.qq.com/omn/20190820/20190820A08VNX00.html,从清华大学的错字值得我们思考,https://inews.gtimg.com/newsapp_ls/0/13506294396_640330/0,教育,清华大学;高校,   清华大学迎新条幅写错一个字，“热烈”写成“热列”，大家认为这低级错误不应该在全国顶尖高校发生。   作为中国最受关注的顶级名校，还是要事事认真，毕竟名校是文化的代名词和引领者。  ……
15,https://new.qq.com/omn/20190916/20190916A05T2G00.html,壁虎医生：肾移植术后肾病复发，怎么办？,https://inews.gtimg.com/newsapp_ls/0/13385319537_640330/0,科普,肾病;肾移植;医生;壁虎,肾移植成功后，病人血肌酐会降至正常或者接近正常值，但是随着移植时间的延长，很多患者又会出现蛋白尿、血尿。有的还会伴有血肌酐升高，这时候患者会非常紧张，因为很多患者在进展至尿毒症时就有这些症状，很担心……
16,https://new.qq.com/omn/20190929/20190929A08BFJ00.html,壁虎医生：肾脏病的发病原因，你知道吗？,https://inews.gtimg.com/newsapp_ls/0/13385318860_640330/0,科普,肾脏病;壁虎;肾小球肾炎;高血压;慢性肾脏病,经常有患者问壁虎医生，肾脏病是怎么得的？怎么预防？要想知道怎么预防，先要了解肾脏病的发病原因。从全球范围来看，糖尿病、高血压是慢性肾脏病的主要病因，其次是肾小球肾炎，而我国肾小球肾炎列第一位。据最新……
17,https://new.qq.com/omn/20191006/20191006A0DFUR00.html,孩子自卑、胆怯？家长要从自身找原因，帮孩子建立自信,https://inews.gtimg.com/newsapp_ls/0/13655943238_640330/0,育儿,孩子;父母,当一个孩子怯场、怕生，走路低着头，见人躲着，人前不敢说话；当一个孩子不敢拒绝别人，吃亏不吱声，分东西拿最少的；当一个孩子自信心不足，害怕失败，遇事悲观，不敢尝试；当一个孩子没有主见，有事要靠父母拿主……
18,https://new.qq.com/omn/20200109/20200109A08YV500.html,郑爽起诉张恒原因疑曝光，网曝男方用她名义借高利贷,https://inews.gtimg.com/newsapp_ls/0/11163853776_640330/0,娱乐,郑爽;张恒;法院,女星郑爽最近的新闻可谓是非常多，昨日有关她现身法院，疑似起诉前男友张恒的消息更是让人吃惊，明明一开始看上去还很恩爱的两个人怎么突然之间就要“反目成仇”了呢？今日（1月9日）有消息传出，为何郑爽会亲自……
19,https://new.qq.com/omn/20200204/20200204A0JY5Z00.html,读苏轼“十年生死两茫茫”：比异地恋更遥远的距离，是生死相隔,https://inews.gtimg.com/newsapp_ls/0/13382312374_640330/0,文化,苏轼;王弗;松冈;章惇,十年生死两茫茫，不思量，自难忘。千里孤坟，无处话凄凉。纵使相逢应不识，尘满面，鬓如霜。夜来幽梦忽还乡，小轩窗，正梳妆。相顾无言，唯有泪千行。料得年年肠断处，明月夜，短松冈。——苏轼《江城子·乙卯正月……
20,https://new.qq.com/omn/20200219/20200219A02RWA00.html,王维清明时节《送元二使安西》，劝君更尽一杯酒，西出阳关无故人,https://inews.gtimg.com/newsapp_ls/0/13368590256_640330/0,文化,王维;送元二使安西;清明,王维（701年－761年，一说699年—761年），字摩诘，号摩诘居士。河东 蒲州 （今山西运城）人，祖籍山西祁县。唐朝著名诗人、画家。《送元二使安西》渭城朝雨浥轻尘，客舍青青柳色新。 劝君更尽一杯……
21,https://new.qq.com/omn/20200324/20200324A0QXG000.html,一年一清明，一岁一相思，30首清明古诗词，道不尽的哀思！,https://inews.gtimg.com/newsapp_ls/0/13337926549_640330/0,文化,清明节;古诗词,"明时节雨纷纷,路上行人欲断魂。借问酒家何处有?牧童遥指杏花村。这首描写清明节的诗相信大家都非常熟悉，那么描写清明的诗还有哪些呢?下面为大家分享30首描写清明节的古诗词清明宋代：王禹偁无花无酒过清明，……"
22,https://new.qq.com/omn/20200329/20200329A0KXZR00.html,陌上花开，相思成灾,https://inews.gtimg.com/newsapp_ls/0/13382043867_640330/0,情感,思念,   前世，我为青莲，你为梵音，一眸擦肩，惊艳了五百年的时光。花绵绵而绽，音靡靡而绕，低眉含笑间，谁的深情绚烂了三生石上的一见倾心？   今生，你为高山，我为流水，长风为歌，幽弦清音，水……
23,https://new.qq.com/omn/20200403/20200403A0JZNL00.html,清明，是怎么从节气变成节日的？,https://inews.gtimg.com/newsapp_ls/0/13368603014_640330/0,文化,清明节;寒食节;节气;扫墓;介子推;上巳节,燕子来时新社，梨花落后清明。即将到来的清明节不仅有着节气和节日的“双重身份”，更有着“双重性格”——既有扫墓祭祀、缅怀先人的庄严肃穆，又有踏青郊游、亲近自然的言笑晏晏。起初，清明只是一个节气的名称。……
24,https://new.qq.com/omn/20200508/20200508A0RYSY00.html,又有新消息了！已确定：上学后将会实施此规定，学生哭了，家长笑了！,https://inews.gtimg.com/newsapp_ls/0/13371414162_640330/0,教育,幼儿园;教育部,最近这段时间，因为情况特殊，学生们都无法按时上课，学校都准备了相应的政策，让学生们在网上学习，其中最着急的就是中高考生了，距离考试时间越来越近，可是现在都无法正常到校，在家学习效率还不高，十分的头疼……
25,https://new.qq.com/omn/20200520/20200520A0HSQN00.html,“小满”犹未满，诗意已盎然！一起欣赏这4类“小满”诗词,https://inews.gtimg.com/newsapp_ls/0/11778384147_640330/0,文化,节气;时节,“麦穗初齐稚子娇，桑叶正肥蚕食饱。”今日小满，这样一个名字中饱含“小确幸”的节气，你了解多少呢？一、正是农家小满天小满是夏季的第二个节气。关于“小满”这一节气名的来源，一说是反映了南方降雨量大的气候……
26,https://new.qq.com/omn/20200705/20200705A0JR2P00.html,被小宋佳插足，与五婚张黎情变的刘蓓，为何转身又嫁给了前夫张健,https://inews.gtimg.com/newsapp_ls/0/13468916344_640330/0,娱乐,刘蓓;张黎;张健;小宋佳;张若昀,文丨左小菜最新消息，张若昀将出演古装新剧《雪中悍刀行》，这是继《庆余年》之后，张若昀接到的又一部大制作。不得不承认，他这两年的资源要比一般人好太多，有人说那是因为他的演技好，可在笔者看来，演技好的背……
27,https://new.qq.com/omn/20200706/20200706A0VDMK00.html,十余载寒窗，相比唐朝，宋朝在科举制上都有哪些质的改变？,https://inews.gtimg.com/newsapp_ls/0/13381787835_640330/0,历史,科举制;宋朝;唐朝;考试;王安石变法;宋真宗;良田;诗经;庶族;汪洙,唐宋之际是历史上最具变革的朝代，贞观之治与开元盛世丰富了唐朝的经济。所谓经济基础决定上层建筑，在经济底蕴的推动下，唐朝文化越来越兴盛，科举一制也随之被确定。到了宋朝，科举制又被不断完善，开始自成一派……
28,https://new.qq.com/omn/20200708/20200708A06B4R00.html,欧洲梦魇，为什么土耳其有自己的强国梦,https://inews.gtimg.com/newsapp_ls/0/13424837223_640330/0,历史,欧洲_历史;土耳其_历史;奥斯曼;奥斯曼帝国;拜占庭帝国,在下突厥，有何贵干东罗马帝国，也称拜占庭帝国，是欧洲留下来的文明火种。由于地理位置重要，扼欧亚沟通之地，商品经济，工商业发达。但是妄图恢复奴隶制的拜占庭帝国内外交困，内部起义不断，在查士丁尼时期鼎……
29,https://new.qq.com/omn/20200714/20200714A0CTSM00.html,亚洲最大的野果林，距今已有百年历史！藏于深山的世外桃源,https://inews.gtimg.com/newsapp_ls/0/13534825006_640330/0,旅游,野果林;桃花源记;亚洲_旅游;新疆;新源县,还记得中学课文《桃花源记》中对桃花源记的描写，虽然未见其境却也能想象到是怎样一副人间仙境。本以为这样的美景只有在书中才会出现，但是小编可以告诉各位，这样的美景就在我们中国，就在新疆！它就是新疆新源县……
30,https://new.qq.com/omn/20200720/20200720A07GYA00.html,指甲剪得越短越好？指甲上的“月牙”和“黑线”代表疾病？现在知道还不晚…,https://inews.gtimg.com/newsapp_ls/0/12118918836_640330/0,科普,指甲;黑线;甲沟炎;灰指甲,本文专家：汪小欢，复旦大学医学博士长辈们从小就教育我们指甲一定要剪短如果小时候谁指甲留得长了点那么免不了被家长教育一番这还没完很多人在上小学的时候老师也要求每天指甲保持干净整洁实际标准只有一个字——……
31,https://new.qq.com/omn/20200813/20200813A0VAVN00.html,朋友离世、自己被贬官，苏轼《记承天寺夜游》：越是落魄越要豁达,https://inews.gtimg.com/newsapp_ls/0/12274358861_640330/0,文化,苏轼;记承天寺夜游;张怀民;承天寺夜游;东坡,元丰六年十月十二日夜晚，苏轼正脱衣服打算睡觉的时候，无意中瞧见有一缕月光透过门窗的缝隙照了进来，那一刻，他被这淘气的月精灵深深吸引住了。于是，苏轼重新穿好衣服，高兴地起身出门，准备好好欣赏一番这美丽……
32,https://new.qq.com/omn/20200921/20200921A0GPIW00.html,玩游戏能延缓和预防老年痴呆吗？,https://inews.gtimg.com/newsapp_ls/0/12503669420_640330/0,科普,阿尔茨海默病;大脑;前额叶皮质,认知训练真能预防阿尔茨海默病吗？目前的答案是我们还不清楚。一些研究表明它可能有作用。撰文|JosephJebelli（约瑟夫·杰贝利）翻译|祁仲夏、曾辉| 图虫创意41岁的日本医生川岛隆太从200……
34,https://new.qq.com/omn/20200926/20200926A0CTXR00.html,苏轼思念弟弟苏辙，两年内写下三首意境极美的中秋词，成千古名篇,https://inews.gtimg.com/newsapp_ls/0/13382314194_640330/0,文化,苏轼;苏辙;中秋;水调歌头·明月几时有;王安石;欧阳修,公元1056年3月，父亲苏洵带着二十一岁的苏轼、十九岁的苏辙告别亲友乡邻，从眉山老家到京城汴梁去参加科举考试。父子三人到达汴京的时候，已经是五月份了，离考试还剩三个月。那一届科举，担任礼部考试主考官……
36,https://new.qq.com/omn/20201005/20201005A06MQQ00.html,官宣！19岁天才中卫自由转会回归巴萨 签约5年违约金4亿欧,https://inews.gtimg.com/newsapp_ls/0/13597914272_640330/0,运动,,西甲豪门巴塞罗那官方宣布，签回拉玛西亚青训出身，现效力于曼城的20岁天才中卫埃里克-加西亚。由于他与曼城的合同即将到期，所以这笔转会的方式是自由转会，埃里克-加西亚将与巴萨签下一份5年长约，违约金4……
38,https://new.qq.com/omn/20201007/20201007A0DCWB00.html,何妨吟啸且徐行：苏轼的《定风波》，用最豁达的话，写最悲情的事,https://inews.gtimg.com/newsapp_ls/0/12575349102_640330/0,文化,苏轼;定风波,生命总不是在不经意间给人致命一击，痛得让你缓不过神来。但又能怎么办呢？还不是要笑着活下去呀。我是真的佩服苏东坡先生，佩服他经历官场的沉浮还能保持一颗初心，佩服他在漂泊无定的生活中还能始终淡泊与坦然。……
39,https://new.qq.com/omn/20201030/20201030A0IUNZ00.html,时代峰峻新推出的时代少年团，男版“洛丽塔”？,https://inews.gtimg.com/newsapp_ls/0/12741578896_640330/0,娱乐,时代少年团;时代峰峻;一块红布;tfboys;刘耀文,文|毛豆可能有人还不知道“TNT时代少年团”是谁，但近期应该看到过一条“粉丝花两万余元竞拍演出门票未果”的新闻，以及摇滚乐里程碑作品《一块红布》被改编成“腐曲”的争议。这些讨论都来源时代少年团，也……
40,https://new.qq.com/omn/20201105/20201105A0GMJ400.html,自述2020年大学毕业的我、这些压力快让我挺不住了，谁能体会？,https://inews.gtimg.com/newsapp_ls/0/13663994804_640330/0,教育,大学;毕业;考试,2020年7月份，我大学毕业。今年对于我们毕业生来说真的是灾难的一年，因为新冠疫情的原因，给即将走出校门的我们带来一系列的影响。毕业论文答辩是在网上开展的，我们没有毕业散伙饭，仅仅是在最后一周，老师……
41,https://new.qq.com/omn/20201106/20201106A05GNK00.html,冲击碾压是什么？冲击碾压设备冲击式压路机在施工究竟如何选择？,https://inews.gtimg.com/newsapp_ls/0/13682391517_640330/0,科普,冲击式压路机;路基;梅花,现场施工的过程中总是会面对各种各样的不同路况，而冲击压路机的类型又分为好几种。冲击式压路机又叫冲击碾，因为外形似梅花花瓣，又被称为梅花压路机、梅花冲击碾等。常见的三边形的比较多，因此又被称为“三边形……
42,https://new.qq.com/omn/20201108/20201108A09K5X00.html,马克思献给燕妮的情诗,https://inews.gtimg.com/newsapp_ls/0/13347241599_640330/0,情感,燕妮·冯·威斯特华伦;马克思主义,卡尔．马克思（1818年5月5日～1883年3月14日）是德国伟大的政治家、哲学家、经济学家和社会学家，马克思主义学说创始人。他的鸿篇巨著有《资本论》、《共产党宣言》等。然而鲜有人知道他青年时代也是……
43,https://new.qq.com/omn/20201110/20201110A07NTQ00.html,地中海霸主：意大利海军的PPA巡逻舰，舰首造型非常具有辨识度,https://inews.gtimg.com/newsapp_ls/0/13349676020_640330/0,军事,巡逻舰;意大利海军;地中海;桌面战争兵棋;ppa;奥托·梅莱拉,PPA巡逻舰首舰“保罗·塔恩·迪里维尔”号（本文由桌面战争兵棋原创撰写，图片来源于网络。“桌面战争兵棋”专注于军事领域的耕耘，坚持原创，坚守初心。欢迎您的指点。）文：桌面战争兵棋｜卖萌的砖头引言今年……
44,https://new.qq.com/omn/20201130/20201130A08DER00.html,主角就应该明明白白？看看金庸笔下身世不明的四位主角,https://inews.gtimg.com/newsapp_ls/0/13431867351_640330/0,文化,金庸;韦小宝;令狐冲;小龙女;岳不群;狄云;古墓派;后记,“飞雪连天射白鹿，笑书神侠倚碧鸳”，金庸先生在其武侠小说里，刻画了许多让人印象深刻的人物。主角当然更是让人难以忘记，段誉、乔峰、虚竹、郭靖、黄蓉、杨过、小龙女、张无忌、令狐冲……这些名字说出来，可以……
45,https://new.qq.com/omn/20201203/20201203A0HKLM00.html,这个被忽视的健康杀手，正在悄悄威胁你的健康,https://inews.gtimg.com/newsapp_ls/0/13563799340_640330/0,科普,油烟机;肺癌;吸烟;世界卫生组织,本文共 3000字 阅读约需 5分钟冬天一到，许多人就把门窗关得严严实实的，生怕溜进了一丝冷风。可是，封闭的高温空气不仅有利于螨虫和细菌的滋生，室内氧气不足也容易使人感到头晕和嗜睡。特别是如……
46,https://new.qq.com/omn/20201204/20201204A04EF200.html,X7成弟弟！宝马X8最新谍照曝光 配激光大灯,https://inews.gtimg.com/newsapp_ls/0/12861123711_640330/0,汽车,宝马x8;谍照;宝马_汽车品牌;大灯;双肾进气格栅;激光;混合动力,随着宝马X8发布时间的临近，最近关于这款车型越来越多的谍照被曝光出来。12月4日，有外媒刚刚曝光了一组宝马X8的路试谍照。照片显示该车仍然覆盖着厚重的伪装，但有不少细节已经曝光，预计将推出混合动力版……
47,https://new.qq.com/omn/20201208/20201208A0AQU700.html,宋代的皇帝为何可以叫“官家”？这是一种蔑称吗？,https://inews.gtimg.com/newsapp_ls/0/13381789865_640330/0,历史,皇帝;宋朝;宋太宗赵光义;汉书·盖宽饶传,有段时间，古装剧《知否》、《清平乐》的收视率居高不下。巧合的是，这两部作品的背景都是发生于北宋时期。看过此剧的人，可能也会注意到一些细节。比如，里面的皇帝被称之为“官家”，而不是传统意义上的“皇上”……
48,https://new.qq.com/omn/20201211/20201211A0HJVF00.html,“6岁男孩闯女厕，反遭其母辱骂”，娃性别意识不能晚于这个年龄,https://inews.gtimg.com/newsapp_ls/0/12897556913_640330/0,育儿,性别意识;孩子;培养孩子,近日在网上看到这样一个新闻：9日北京亦庄某餐馆内有个6岁的小男孩擅自闯进了女厕所，里面恰好有人在上厕所。女生觉得小男孩已经不小了，这种行为不好便对其母说希望孩子给自己道歉就算了。可这位男孩的母亲却觉……
49,https://new.qq.com/omn/20201217/20201217A0J0EE00.html,福建一男子花7年时间离婚，拿着彩礼就消失的问题，该面对了,https://inews.gtimg.com/newsapp_ls/0/13406263249_640330/0,情感,彩礼;离婚;结婚;婚姻;骗婚;婚姻登记,不是每一个期待婚姻的人，都能够得到美好的结局。有许多人，在刚结婚的时候还不错，过后不久，许多问题就开始暴露出来。当然，也可以说，没人是愿意这样来回折腾的，除非打开始就没有想好，是否要结婚，以及结婚后……
50,https://new.qq.com/omn/20201218/20201218A05CM600.html,张自忠阵亡，百姓送殡蒋公痛哭，日军战机三次盘旋上空却未投一弹,https://inews.gtimg.com/newsapp_ls/0/13487610402_640330/0,历史,张自忠;日军;29军;宋哲元;华北地区;北平,  张自忠，华北守军第29军38师的师长，他曾对他的上司宋哲元说：“你们成了民族英雄，我怕要成了汉奸”，此时是1937年7月28日，正是日军已经发动全面侵华战争的第二十一天。在“七七事变”爆发前后……
52,https://new.qq.com/omn/20201219/20201219A0CIMS00.html,6岁男孩开女厕门，妈妈却这样回应,https://inews.gtimg.com/newsapp_ls/0/12933073074_640330/0,育儿,孩子;父母,作者|只只妈前几天，被一个6岁男孩和他的妈妈刷屏了。一名女顾客在饭店上厕所，门被反锁着，只是门锁有点松。有小孩子在外面问“有人吗”，女生大喊“有人”。可没想到两个男孩竟然突然把门推开了。女生抬头……
53,https://new.qq.com/omn/20201220/20201220A08CMX00.html,宋朝有种官职品级不高，却很重要，要求长相俊美，身体强壮,https://inews.gtimg.com/newsapp_ls/0/13381817446_640330/0,历史,宋朝;皇帝;新唐书.百官志二;官职;人文,“秘书”这个职业在我国已有上千年的历史。《汉书·刘歆传》：“及歆校秘书，见古文《春秋左氏传》，歆大好之。”从以上史料文献便能看出，千年前的汉朝，秘书主要肩负管理宫廷内秘藏之书，以及负责撰写诏令的任务……
54,https://new.qq.com/omn/20201228/20201228A0OIX400.html,广西投资25亿元建造的这座古城，小桥流水宛如江南水乡,https://inews.gtimg.com/newsapp_ls/0/13368703185_640330/0,旅游,古城;田州古城;广西投资;田阳区;水乡;布洛陀,从广西百色市区向东大约40公里，有一座古城，叫做田州古城。虽然叫做古城，但这座古城并非一直保留下来的，而是近些年新建的，这里的建筑都是古色古香的样子，很有特色，也成了一个免费开放的旅游景区。田州古城……
55,https://new.qq.com/omn/20210102/20210102A05MYW00.html,978万人研究：“常喝小酒”比“偶尔喝大酒”更伤身！为什么？,https://inews.gtimg.com/newsapp_ls/0/12990437128_640330/0,科普,喝酒;酒精;癌症;房颤;肝癌,“听说没，老刘住院了，肝癌。”郑阿姨刚买菜回来，就把小道消息告诉老郑。“他呀，从我认识他开始就爱喝酒，估计是喝出来的。”老郑毫不意外。“别说别人了，你自己呢？还不是天天喝。”“我？我每天吃饭前就小酌……
57,https://new.qq.com/omn/20210103/20210103A0CHYA00.html,“刘耀文”壁纸集｜优质男孩吖,https://inews.gtimg.com/newsapp_ls/0/13461585449_640330/0,育儿,;刘耀文;壁纸,  (    )                    文末赞赞橙子小编吖              ……
58,https://new.qq.com/omn/20210106/20210106A0E86O00.html,奔驰的“狠角色”，配V8发动机，百公里3.6s，颜值还很高,https://inews.gtimg.com/newsapp_ls/0/13396819556_640330/0,汽车,梅赛德斯-奔驰;v8发动机;奔驰amg;超级跑车;奔驰slr;迈凯伦,梅赛德斯奔驰，它在绝大多数人的印象中，都是一种温文儒雅的“绅士形象”，也因此它成为了众多商务人士和政客们的最爱。而在梅赛德斯的发展史上，也从来不缺乏经典的超级跑车，奔驰S65 AMG、AMG GTR……
60,https://new.qq.com/omn/20210109/20210109A0DMAR00.html,中型SUV新“标杆”，车长4米9轴距2米8，零噪音续航1050公里,https://inews.gtimg.com/newsapp_ls/0/13416429991_640330/0,汽车,中型suv;续航;噪音;汉兰达,二胎政策的开放还没多久，网上又传出了三胎政策的提议，这个时候传统的5座车型怕是再也满足不了一家老小的出行需求了，各大汽车厂商又开始将重点放在了多座车型身上，6座/7座车型又成为了汽车市场的当红名角。……
61,https://new.qq.com/omn/20210111/20210111A06JRV00.html,盖厚被、听音乐、数羊、吃褪黑素、喝红酒，哪些真能拯救失眠？,https://inews.gtimg.com/newsapp_ls/0/13028501117_640330/0,科普,酒精;失眠;褪黑素;睡眠;红酒;抗组胺类,最近有很多人来问我该怎么改善“失眠”。因为我自己的睡眠质量还可以，所以之前很少关注这个问题。我简单在周围的人中问了一下，发现失眠还真是一个挺常见的现象，很多人都会觉得自己有失眠问题。于是，我抽了点时……
62,https://new.qq.com/omn/20210111/20210111A0FHR200.html,丰田又一SUV火了，丐版就有7个气囊，一公里2毛5，已热销8万多辆,https://inews.gtimg.com/newsapp_ls/0/13424335544_640330/0,汽车,丰田;紧凑型suv;气囊;丐版;威兰达;丰田suv,在日系三大汽车品牌中，要说起丰田SUV，很多人都会竖起大拇指，它有何不输大众、本田的品牌溢价能力，在它还是“牛头”的那个年代，旗下的汉兰达、普拉多、4Runner、兰德酷路泽就已经响彻全世界，更是被……
63,https://new.qq.com/omn/20210114/20210114A0D4U100.html,选择食用油的5大误区 你中招了吗？,https://inews.gtimg.com/newsapp_ls/0/13039676414_640330/0,科普,食用油;植物油;压榨油;中国营养学会;饮食健康,在过去那个物质匮乏的年代，能吃上一点油可是件幸福的事情。而身处物质丰富的今天，“选择吃什么油”却成了一件让人抓狂的事，因为油的种类实在是太多了，这对于“选择恐惧症”的朋友们来说实在是太难了！其实，在……
64,https://new.qq.com/omn/20210115/20210115A00UHD00.html,为什么有维生素E和K，但没有维生素FGHIJ？,https://inews.gtimg.com/newsapp_ls/0/13041458458_640330/0,科普,维生素d;维生素e;克里斯蒂安·艾克曼;维生素b;叶酸;维生素f,对于维生素ABCDE我们都很熟悉，然而要再往下接，维生素家族的下一个成员就直接到维生素K了。中间的维生素FGHIJ都去了哪里？让我们从“维生素”这个名字说起。喂鸡发现了维生素1886年，脚气病（不是……
65,https://new.qq.com/omn/20210116/20210116A072XT00.html,又一美式旅行车，行李厢1602L，174马力油耗5.9L，15万起,https://inews.gtimg.com/newsapp_ls/0/13449903185_640330/0,汽车,旅行车;福克斯猎装版;福特,作为美国三大汽车品牌的福特汽车，它几乎也是大包大揽了所有车型，从入门级的两厢车、三厢车，到全尺寸SUV、顶级的房车，福特汽车也拥有自己独特的见解。为了满足多元化、多样化的发展需求，福特汽车也带来了全……
66,https://new.qq.com/omn/20210116/20210116A0E2TU00.html,一度卖到“断货”，这车标配2.0T，带10个BOSE音响比思域还牛,https://inews.gtimg.com/newsapp_ls/0/13453127101_640330/0,汽车,bose;吉利星瑞;思域;轩逸;吉利,众所周知，国外汽车品牌起步早，技术领先，还拥有过硬的钣金工艺和品牌信仰。因此，每次翻阅销量榜单的时候，排名靠前的始终是那些德系、日系和美系品牌。轩逸、英朗、CR-V、途观L、别克GL8始终是名列前茅……
68,https://new.qq.com/omn/20210118/20210118A02KVB00.html,国画楼阁的入门绘制画法，值得收藏！,https://inews.gtimg.com/newsapp_ls/0/13558731413_640330/0,文化,国画;画法,国画楼阁的入门绘制画法，值得收藏！
69,https://new.qq.com/omn/20210118/20210118A039NQ00.html,“挫折教育”，一个被父母曲解的伪命题，正一步步把孩子养脆弱,https://inews.gtimg.com/newsapp_ls/0/13368869014_640330/0,育儿,挫折教育;孩子;父母;李玫瑾;袁景颐,在《圆桌派》里，李玫瑾教授提到了"脱敏"这个词，她认为人的心理发展是一个进程，为了防止他后面发生什么事儿，必须前面要做到什么事儿。李玫瑾教授说：“我孩子这一代，我父亲对他也是说话特别重，有一次我在家……
70,https://new.qq.com/omn/20210119/20210119A0709J00.html,又一运动中型车，无边框车门＋战斗机座舱，百公里4.3s，好开耐用,https://inews.gtimg.com/newsapp_ls/0/13465914811_640330/0,汽车,中型车;无边框;车门;标致508;轿车,在SUV如此火爆的当下，轿车仍然能凭借着出色的操控，相对来说更低的油耗，获取消费者的信任，继而它也成为了汽车市场的“常青树”。尤其是在物质生活越来越富裕的时代，中型车也逐渐普及了。法国PSA集团也发……
